game_id,game_date,away,home,home_win,state_policy,performance_cutoff,elo_diff,elo_probability_raw,bt_logit,trend_diff,record_logit_diff,cumulative_margin_diff,recent_margin_diff,turnover_advantage_diff,rebound_advantage_diff,foul_advantage_diff,rest_advantage,home_rest_days,away_rest_days,back_to_back_advantage,games_in_4_days_advantage,games_in_6_days_advantage,home_games_before,away_games_before
0022500105,2025-10-26,BKN,SAS,1,sequential_daily,2025-10-25,0.3248427094712639,0.6787379516925675,0.4963604715555865,0.31574207824954215,0.8109302162163285,31.5,31.184257921750458,0.0,28.5,3.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
0022500106,2025-10-26,BOS,DET,1,sequential_daily,2025-10-25,0.22913909858240175,0.6289260404984406,0.358433747926124,-0.13091744707907776,0.4054651081081643,5.5,5.630917447079078,-1.5,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
0022500107,2025-10-26,MIL,CLE,1,sequential_daily,2025-10-25,0.14131431330346686,0.5806368411927685,0.08653345795921263,-0.16942257857292436,-0.4054651081081642,-10.0,-9.830577421427076,0.0,-1.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
0022500108,2025-10-26,NYK,MIA,1,sequential_daily,2025-10-25,0.18192854774361422,0.6032214265700221,0.10475799583316663,-0.26183489415815586,-0.4054651081081642,5.0,5.261834894158156,-0.5,-6.0,-12.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
0022500109,2025-10-26,CHA,WAS,0,sequential_daily,2025-10-25,0.18396940226604613,0.6043456206661628,0.22722132749570975,-0.44278275290259916,0.0,-9.0,-8.557217247097402,0.5,-5.0,-3.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0
0022500110,2025-10-26,IND,MIN,1,sequential_daily,2025-10-25,0.2417831508628251,0.6356947265468208,0.3580912779827713,0.02310307889630625,0.4054651081081643,8.5,8.476896921103695,2.0,4.5,-5.5,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0
0022500111,2025-10-26,TOR,DAL,1,sequential_daily,2025-10-25,0.08221304229384373,0.5471848081073711,0.06141223735534995,-0.37735028863969866,-0.4054651081081643,-28.5,-28.122649711360303,-2.5,-9.5,6.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
0022500112,2025-10-26,POR,LAC,1,sequential_daily,2025-10-25,0.18290178866866996,0.6037576680353754,0.22231953203862698,-0.18482463117046288,0.0,-5.0,-4.815175368829538,-6.0,0.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
0022500113,2025-10-26,LAL,SAC,0,sequential_daily,2025-10-25,0.18351000205747084,0.6040926581736863,0.22230708846821595,0.28490600523942966,0.0,-5.5,-5.78490600523943,5.5,-19.5,-5.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0
0022500007,2025-10-27,CLE,DET,0,sequential_daily,2025-10-26,0.1854727400081566,0.6051730222237202,0.4066267293010034,0.030221836428719007,0.0,0.6666666666666667,0.6364448302379477,-1.0,1.0000000000000004,-7.333333333333334,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0
0022500008,2025-10-27,DEN,MIN,0,sequential_daily,2025-10-26,0.1818594717210965,0.6031833572507286,0.4848050900308283,0.21330940379526409,0.1823215567939544,-11.333333333333334,-11.546642737128597,0.0,-1.8333333333333333,-4.166666666666666,-1.0,1.0,2.0,-1.0,-1.0,-1.0,3.0,2.0
0022500114,2025-10-27,ORL,PHI,1,sequential_daily,2025-10-26,0.2620913867002338,0.6464538356409655,0.6507795127935609,-0.15754972785078714,0.5877866649021188,6.5,6.657549727850787,0.16666666666666663,-4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0
0022500115,2025-10-27,ATL,CHI,1,sequential_daily,2025-10-26,0.30414031552755316,0.668256268288771,0.629152175665092,-0.03214005466303149,0.5877866649021188,19.0,19.03214005466303,-5.666666666666667,6.5,-0.5,0.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0
0022500116,2025-10-27,BKN,HOU,1,sequential_daily,2025-10-26,0.23642029679642348,0.6328302285161167,0.45793841177831485,0.1159455850829394,0.15415067982725827,9.833333333333334,9.717387748250395,-4.5,24.666666666666664,11.5,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0
0022500117,2025-10-27,BOS,NOP,0,sequential_daily,2025-10-26,0.19612195267034452,0.6110166062829547,0.45921159896979896,-0.0660529111993764,0.15415067982725827,0.666666666666667,0.7327195778660434,-0.6666666666666665,7.833333333333334,7.666666666666667,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0
