replicate,log_loss,brier,auc,accuracy,games,home_win_rate,mean_probability,correct_games,expected_calibration_error,min_predicted_probability,max_predicted_probability,mean_predicted_probability,observed_home_win_rate,calibration_intercept_alpha,calibration_slope_gamma,delta_log_loss_vs_elo,delta_brier_vs_elo,delta_auc_vs_elo,delta_accuracy_vs_elo,delta_log_loss_vs_rank,delta_brier_vs_rank,delta_auc_vs_rank,delta_accuracy_vs_rank
144,0.4793441139982296,0.15542746938922222,0.8616452991452991,0.7816091954022989,87,0.5517241379310345,0.5367957467159978,68,0.08783959269204776,0.06816437655118983,0.9690462970709675,0.5367957467159978,0.5517241379310345,0.0781182368465384,1.3674532404563375,0.0029119434033389457,0.0008901477888572096,0.0,0.0,-0.023543868078017227,-0.007453588405818418,0.0064102564102563875,-0.011494252873563204
145,0.4797773534239238,0.15765503492758354,0.8691029900332227,0.7307692307692307,78,0.5512820512820513,0.5034123895356237,57,0.1249790777301888,0.11618154536081363,0.9542478662684957,0.5034123895356237,0.5512820512820513,0.39042334041091104,1.5318023125872198,0.002849740628191322,0.0005216394676039737,0.0,0.0,-0.00667740557741453,0.002037752783088098,-0.015946843853820503,-0.05128205128205132
146,0.4731479689853304,0.15554764560475604,0.8525091799265606,0.7394957983193278,119,0.6386554621848739,0.5678441538812031,88,0.11068687916675782,0.06816437655118983,0.9690462970709675,0.5678441538812031,0.6386554621848739,0.4288021559843035,1.312389075812776,0.001948752599011061,0.0003170574451279995,0.0,0.0,-0.02193030654340794,-0.006468826958096502,0.006119951040391758,-0.01680672268907557
147,0.4886658504554131,0.16195895740145957,0.8144444444444445,0.7477477477477478,111,0.6756756756756757,0.5991735041944521,83,0.08497248009726951,0.06816437655118983,0.9690462970709675,0.5991735041944521,0.6756756756756757,0.43914225188242767,1.1255663947546783,0.0010179504474992496,-1.3455788967137172e-05,0.0,0.0,-0.023632185914364,-0.0084607820844462,-0.0011111111111110628,0.009009009009009028
148,0.47686871801350195,0.15191380703005972,0.8801247771836006,0.7894736842105263,95,0.5368421052631579,0.5076181491802416,75,0.1443781725281534,0.11618154536081363,0.9690462970709675,0.5076181491802416,0.5368421052631579,0.23387888434297224,1.7409938380740435,0.00421669434424865,0.001648746965224518,0.0,0.0,-0.024692324642790364,-0.00868207150916167,0.0062388591800356386,-0.04210526315789476
149,0.42732143462639105,0.1346045512015422,0.9040247678018576,0.7865168539325843,89,0.5730337078651685,0.5461297821906981,70,0.11897665122139375,0.06816437655118983,0.9328529855673348,0.5461297821906981,0.5730337078651685,0.18221577966206154,1.587860074308857,0.0045545142978751785,0.0011169147424097692,0.0,0.0,-0.026605713215891613,-0.007080633272784964,0.003611971104231171,-0.011235955056179692
150,0.4445112205399526,0.14286171110826368,0.8834325396825398,0.7894736842105263,95,0.6631578947368421,0.5696507826550978,75,0.11091335641035995,0.06816437655118983,0.9690462970709675,0.5696507826550978,0.6631578947368421,0.6420082960361747,1.5764846896057858,0.0032717049656831865,0.0006652082959195948,0.0,0.0,-0.026908018365159103,-0.008095415275556295,0.0024801587301588324,0.0
151,0.4976298582759539,0.1639130024775606,0.8368486352357319,0.7543859649122807,114,0.543859649122807,0.5494337535010246,86,0.11000604114625631,0.06816437655118983,0.9690462970709675,0.5494337535010246,0.543859649122807,-0.04163879878247069,1.081559884965485,0.0006558835555355302,0.00022482325938769088,0.0,0.0,-0.03157283928744853,-0.011943871239628728,0.020471464019851005,0.0
152,0.4780591289157972,0.15442300767518427,0.861522198731501,0.7798165137614679,109,0.6055045871559633,0.5495122576742721,85,0.15028095875204645,0.06816437655118983,0.9542478662684957,0.5495122576742721,0.6055045871559633,0.2998582898185661,1.5996675877165558,0.003682597787197872,0.001105896592401956,0.0,0.0,-0.015391208795210554,-0.004322425120301759,-0.0017618040873855767,-0.02752293577981657
153,0.4719594149482574,0.15138953942041616,0.8677944862155389,0.7875,80,0.525,0.5066677705004616,63,0.09536457863870025,0.11618154536081363,0.9542478662684957,0.5066677705004616,0.525,0.14196515287180533,1.3794380953901115,0.003092195095514949,0.0008819275996501674,0.0,0.0,-0.023566539964800792,-0.007130714969744434,0.005012531328320913,-0.025000000000000022
154,0.4803917694064543,0.15573025085118802,0.8568548387096774,0.7818181818181819,110,0.5636363636363636,0.5340160877586502,86,0.09965988470976875,0.06816437655118983,0.9690462970709675,0.5340160877586502,0.5636363636363636,0.18546132725945066,1.3372296562358115,0.002423364164340358,0.0008623913824676033,0.0,0.0,-0.030437369926452462,-0.011031754463493915,0.010752688172043001,-0.009090909090909038
155,0.501651497677673,0.16481905628928933,0.841796875,0.75,104,0.6153846153846154,0.5438114471546389,78,0.1434011534107762,0.06816437655118983,0.9690462970709675,0.5438114471546389,0.6153846153846154,0.41422951419009507,1.5022424063852984,0.002510011374537102,0.0008680698302756806,0.0,0.0,-0.015912049086627245,-0.005165608434592017,-0.004296874999999867,-0.038461538461538436
156,0.44332723044987155,0.1388742219713042,0.892987012987013,0.8222222222222222,90,0.6111111111111112,0.5558275932496609,74,0.1524333317964211,0.06816437655118983,0.9690462970709675,0.5558275932496609,0.6111111111111112,0.3490788897615956,1.7376903950148133,0.004585369340626089,0.0015892946881979342,0.0,0.0,-0.03770449059794373,-0.014367641259557778,0.0051948051948053076,0.0
157,0.46269684080067985,0.14643251467443374,0.8931372549019608,0.7912087912087912,91,0.5604395604395604,0.5198222833496896,72,0.15314719579694286,0.11618154536081363,0.9690462970709675,0.5198222833496896,0.5604395604395604,0.3031525988816544,1.8718259931348333,0.004776283552445748,0.0016710380686363047,0.0,0.0,-0.021442883115173728,-0.006703503213259215,0.002450980392156965,-0.04395604395604402
158,0.4679133932777839,0.14716048341378232,0.8908355795148248,0.8210526315789474,95,0.5578947368421052,0.5475833114275371,78,0.15700331548757143,0.06816437655118983,0.9690462970709675,0.5475833114275371,0.5578947368421052,-0.047191798934789475,1.8238491382367976,0.005030514276832376,0.001964322002896618,0.0,0.0,-0.027457294281876987,-0.010779427157989407,0.020215633423180557,-0.021052631578947323
159,0.47900924444330667,0.15551133773336667,0.8539697542533081,0.782608695652174,92,0.5,0.4878227212857611,72,0.09775845453960218,0.11618154536081363,0.9542478662684957,0.4878227212857611,0.5,0.12275291719188763,1.3652787078474116,0.002893327644036381,0.0007225142613256075,0.0,0.0,-0.01914386314087657,-0.004304240041569457,-0.007088846880907385,-0.021739130434782594
160,0.4646208070541533,0.15083122323942086,0.8968253968253969,0.7474747474747475,99,0.6363636363636364,0.5204913562986807,74,0.16256394035007538,0.13934558619367174,0.9542478662684957,0.5204913562986807,0.6363636363636364,0.994275581764114,2.1484908089467423,0.0037486235515298283,0.000821750349940531,0.0,0.0,-0.01044722631608258,-0.000434623384287125,-0.016754850088183337,-0.0505050505050505
