candidate,model_type,architecture,elo_k,elo_hfa,trend_half_life_days,feature_set,n_features,logistic_c,prequential_games,prequential_log_loss,prequential_brier,prequential_auc,prequential_accuracy
k30_hfa50_hl45|core_schedule|C0.3,direct_logistic,k30_hfa50_hl45,30.0,50.0,45.0,core_schedule,5,0.3,399,0.646344144824481,0.22744606065383177,0.6729007249295207,0.6290726817042607
k30_hfa50_hl20|elo_bt_trend|C3.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,elo_bt_trend,3,3.0,399,0.6463908276208272,0.22728975374636698,0.6746123640757148,0.6365914786967418
k30_hfa80_hl45|elo_bt_trend|C3.0,direct_logistic,k30_hfa80_hl45,30.0,80.0,45.0,elo_bt_trend,3,3.0,399,0.6463984619223005,0.22730721780643903,0.6749899315344341,0.6466165413533834
k30_hfa65_hl45|core_schedule|C0.3,direct_logistic,k30_hfa65_hl45,30.0,65.0,45.0,core_schedule,5,0.3,399,0.6464044846095065,0.22747873971807914,0.6726741844542892,0.631578947368421
k30_hfa50_hl45|elo_bt_trend|C10.0,direct_logistic,k30_hfa50_hl45,30.0,50.0,45.0,elo_bt_trend,3,10.0,399,0.6464304011671851,0.2273203757353728,0.6751157873540071,0.6390977443609023
k30_hfa50_hl20|core_schedule|C0.3,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,core_schedule,5,0.3,399,0.6464489326391429,0.22748819055384434,0.6718183648811921,0.6240601503759399
k30_hfa80_hl45|core_schedule|C0.3,direct_logistic,k30_hfa80_hl45,30.0,80.0,45.0,core_schedule,5,0.3,399,0.646452605058589,0.2275038176084187,0.6728000402738623,0.6265664160401002
k30_hfa65_hl20|elo_bt_trend|C3.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,20.0,elo_bt_trend,3,3.0,399,0.6464595025579656,0.22732348966244703,0.6752668143374949,0.6390977443609023
k30_hfa65_hl20|core_schedule|C0.3,direct_logistic,k30_hfa65_hl20,30.0,65.0,20.0,core_schedule,5,0.3,399,0.646495684781148,0.22751434640476917,0.6722966169955698,0.6290726817042607
k30_hfa80_hl20|elo_bt_trend|C3.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,20.0,elo_bt_trend,3,3.0,399,0.6465055623455479,0.22734501440229207,0.6752919855014095,0.6365914786967418
k30_hfa65_hl45|elo_bt_trend|C10.0,direct_logistic,k30_hfa65_hl45,30.0,65.0,45.0,elo_bt_trend,3,10.0,399,0.646511399270897,0.22735981952556297,0.6749647603705194,0.6390977443609023
